NO,TOPIC
Tut7,operators
Tut8,Exercise
Tut9,format specifier and escape sequence
Tut10,if else
Tut11,switch case
Tut12,loop
Tut13,do while
Tut14,while loop
Tut15,for loop
Tut16,break and continue
Tut17,go to
Tut18,typecasting
Tut19,function
Tut20,Exercise
Tut21,recursion
Tut22,Units and conversion
Tut23,Arrays
Tut24,Exercise
Tut25,Exercise on recursion
Tut26,pointers
Tut27,pointers and arrays
Tut28,solution on recursion
Tut29,is recursion always good?
Tut30,Star printing pattern 
Tut31,call by value and call by reference
Tut32,Passing arrays as function Arguements
Tut33,star pattern solution
Tut34,string
Tut35,string library and string function
Tut36,Exercise on array reversal
Tut37,structures
Tut38,typedef
Tut39,unions
Tut40,solution of array reversal
Tut41,Exercise on html parser
Tut42,static variables
Tut43,solution to html parser
Tut44,Exercise on travel manager
Tut45,Dynamic memory allocation 
Tut46,solution to travel agency manager
Tut47,MALLOC CALLOC AND REALLOCATION
Tut48,Exercise on employee manager
Tut49,storage class in c auto extern,static and extern
Tut50,solution  on employee manager
Tut51,Exercise on  stone papper scissor
Tut52,Void pointers
Tut53,Null pointers
Tut54,Dangling pointers
Tut55,Wild pointers
Tut56,solution to rock papper scissor
Tut57,Exercise on matrix multiplication
Tut58,C-pre-processor Introduction and working
Tut59,processor Directives 
Tut60,Predefined Macros and preprocessor Directives
Tut61,solution to matrix multiplication
Tut62,File I/O in c 
Tut63,Exercise on Palindrome
Tut64,function in file I/O
Tut65,solution to Palindrome
Tut66,Exercise on automated reciept generator
Tut67,File modes 
Tut68,command line Arguements
Tut69,solution to automated reciept generator
Tut70,Exercise on command line calculator
Tut71,solution to command line calculator
Tut72,function pointers
Tut73,call back function
Tut74,Exercise on Area of circle
Tut75,memory leak
Tut76,solution to Area of circle